usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,is_alternative,verbatim_name,verbatim_index
7226291,Chloropyron molle subsp. molle,Chloropyron molle molle,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Orobanchaceae,Chloropyron,Chloropyron molle,6,7707728,220,408,6651,6439194,3730991,FALSE,Magnoliopsida,NA,FALSE,Chloropyron molle molle,658
6069340,Chloropyron palmatum (Ferris) Tank & J.M.Egger,Chloropyron palmatum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Orobanchaceae,Chloropyron,Chloropyron palmatum,6,7707728,220,408,6651,6439194,6069340,FALSE,Magnoliopsida,NA,FALSE,Chloropyron palmatum,659
6069339,Chloropyron tecopense (Munz & J.C.Roos) Tank & J.M.Egger,Chloropyron tecopense,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Orobanchaceae,Chloropyron,Chloropyron tecopense,6,7707728,220,408,6651,6439194,6069339,FALSE,Magnoliopsida,NA,FALSE,Chloropyron tecopense,660
2433207,"Choeronycteris mexicana Tschudi, 1844",Choeronycteris mexicana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,1,44,359,734,9366,2433206,2433207,FALSE,Mammalia,NA,FALSE,Choeronycteris mexicana,662
10715804,Chorizanthe aphanantha K.M.Nelson & D.J.Keil,Chorizanthe aphanantha,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe aphanantha,6,7707728,220,422,2416,2888887,10715804,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe aphanantha,663
4036125,Chorizanthe biloba var. immemora Reveal & C.B.Hardham,Chorizanthe biloba immemora,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe biloba,6,7707728,220,422,2416,2888887,2888893,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe biloba immemora,664
2888924,Chorizanthe blakleyi C.B.Hardham,Chorizanthe blakleyi,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe blakleyi,6,7707728,220,422,2416,2888887,2888924,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe blakleyi,665
2888896,Chorizanthe breweri S.Watson,Chorizanthe breweri,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe breweri,6,7707728,220,422,2416,2888887,2888896,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe breweri,666
7219382,Chorizanthe cuspidata var. cuspidata,Chorizanthe cuspidata cuspidata,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe cuspidata,6,7707728,220,422,2416,2888887,2888898,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe cuspidata cuspidata,667
4035886,Chorizanthe cuspidata var. villosa (Eastw.) Munz,Chorizanthe cuspidata villosa,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe cuspidata,6,7707728,220,422,2416,2888887,2888898,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe cuspidata villosa,668
2888915,Chorizanthe howellii Goodman,Chorizanthe howellii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe howellii,6,7707728,220,422,2416,2888887,2888915,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe howellii,669
7490810,"Chorizanthe minutiflora R.Morgan, Styer & Reveal",Chorizanthe minutiflora,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe minutiflora,6,7707728,220,422,2416,2888887,7490810,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe minutiflora,670
2888904,Chorizanthe orcuttiana Parry,Chorizanthe orcuttiana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe orcuttiana,6,7707728,220,422,2416,2888887,2888904,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe orcuttiana,671
4035130,Chorizanthe parryi var. fernandina (S.Watson) Jeps.,Chorizanthe parryi fernandina,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe parryi,6,7707728,220,422,2416,2888887,2888917,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe parryi fernandina,672
8190573,Chorizanthe parryi var. parryi,Chorizanthe parryi parryi,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe parryi,6,7707728,220,422,2416,2888887,2888917,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe parryi parryi,673
6391318,Chorizanthe polygonoides var. longispina (Goodman) Munz,Chorizanthe polygonoides longispina,VARIETY,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe polygonoides,6,7707728,220,422,2416,2888887,2888905,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe polygonoides longispina,674
4034902,Chorizanthe pungens var. hartwegiana Reveal & C.B.Hardham,Chorizanthe pungens hartwegiana,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe pungens,6,7707728,220,422,2416,2888887,2888906,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe pungens hartwegiana,675
7095564,Chorizanthe pungens var. pungens,Chorizanthe pungens pungens,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Chorizanthe,Chorizanthe pungens,6,7707728,220,422,2416,2888887,2888906,FALSE,Magnoliopsida,NA,FALSE,Chorizanthe pungens pungens,676
